"county","county_name","county_TR_code","dimension","dimension_desc","year","value"
"067","Thurston","53067","ACS:B14001>1","Total","2015",253492
"067","Thurston","53067","ACS:B14001>1>10","Not enrolled in school","2015",189714
"067","Thurston","53067","ACS:B14001>1>2","Enrolled in school","2015",63778
"067","Thurston","53067","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",3780
"067","Thurston","53067","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",3071
"067","Thurston","53067","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",11883
"067","Thurston","53067","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",13818
"067","Thurston","53067","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",14045
"067","Thurston","53067","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",14487
"067","Thurston","53067","ACS:B14001>1>2>9","Graduate or professional school","2015",2694
"069","Wahkiakum","53069","ACS:B14001>1","Total","2015",3984
"069","Wahkiakum","53069","ACS:B14001>1>10","Not enrolled in school","2015",3192
"069","Wahkiakum","53069","ACS:B14001>1>2","Enrolled in school","2015",792
"069","Wahkiakum","53069","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",11
"069","Wahkiakum","53069","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",9
"069","Wahkiakum","53069","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",108
"069","Wahkiakum","53069","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",229
"069","Wahkiakum","53069","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",267
"069","Wahkiakum","53069","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",142
"069","Wahkiakum","53069","ACS:B14001>1>2>9","Graduate or professional school","2015",26
"071","Walla Walla","53071","ACS:B14001>1","Total","2015",57714
"071","Walla Walla","53071","ACS:B14001>1>10","Not enrolled in school","2015",41830
"071","Walla Walla","53071","ACS:B14001>1>2","Enrolled in school","2015",15884
"071","Walla Walla","53071","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",936
"071","Walla Walla","53071","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",512
"071","Walla Walla","53071","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",2946
"071","Walla Walla","53071","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",3038
"071","Walla Walla","53071","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",3025
"071","Walla Walla","53071","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",5084
"071","Walla Walla","53071","ACS:B14001>1>2>9","Graduate or professional school","2015",343
"073","Whatcom","53073","ACS:B14001>1","Total","2015",200456
"073","Whatcom","53073","ACS:B14001>1>10","Not enrolled in school","2015",143135
"073","Whatcom","53073","ACS:B14001>1>2","Enrolled in school","2015",57321
"073","Whatcom","53073","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",2997
"073","Whatcom","53073","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",2547
"073","Whatcom","53073","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",8722
"073","Whatcom","53073","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",9594
"073","Whatcom","53073","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",9790
"073","Whatcom","53073","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",21847
"073","Whatcom","53073","ACS:B14001>1>2>9","Graduate or professional school","2015",1824
"075","Whitman","53075","ACS:B14001>1","Total","2015",45467
"075","Whitman","53075","ACS:B14001>1>10","Not enrolled in school","2015",21895
"075","Whitman","53075","ACS:B14001>1>2","Enrolled in school","2015",23572
"075","Whitman","53075","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",533
"075","Whitman","53075","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",434
"075","Whitman","53075","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",1402
"075","Whitman","53075","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",1691
"075","Whitman","53075","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",1300
"075","Whitman","53075","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",15773
"075","Whitman","53075","ACS:B14001>1>2>9","Graduate or professional school","2015",2439
"077","Yakima","53077","ACS:B14001>1","Total","2015",235052
"077","Yakima","53077","ACS:B14001>1>10","Not enrolled in school","2015",168505
"077","Yakima","53077","ACS:B14001>1>2","Enrolled in school","2015",66547
"077","Yakima","53077","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",3534
"077","Yakima","53077","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",4255
"077","Yakima","53077","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",16616
"077","Yakima","53077","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",16636
"077","Yakima","53077","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",15895
"077","Yakima","53077","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",8599
"077","Yakima","53077","ACS:B14001>1>2>9","Graduate or professional school","2015",1012
